model,inference_time_avg_ms,inference_time_std_ms,feature_extraction_time_ms,total_params,model_size_mb,num_test_images
ShuffleNetV2,30.930156707763672,0.7570297588233569,10.309640628596146,2278604,8.75433349609375,134
MobileNetV3,108.98040771484375,1.415648027588244,30.78001302977403,5483032,21.009536743164062,134
EfficientNet-B0,219.78319644927979,2.555960147281276,57.301325413088,5288548,20.334861755371094,134
